4K频道,#genre#
快乐垂钓,https://phdown.serv00.net/cqtv.php?id=klcd
金鹰卡通,https://phdown.serv00.net/cqtv.php?id=jykt
求索纪录,https://phdown.serv00.net/cqtv.php?id=qsjl
重庆新闻,https://phdown.serv00.net/cqtv.php?id=cqxw
重庆科教,https://phdown.serv00.net/cqtv.php?id=cqkj
重庆影视,https://phdown.serv00.net/cqtv.php?id=cqys
重庆文体娱乐,https://phdown.serv00.net/cqtv.php?id=cqwtyl
重庆少儿,https://phdown.serv00.net/cqtv.php?id=cqse
重庆时尚生活,https://phdown.serv00.net/cqtv.php?id=cqsssh
重庆新农村,https://phdown.serv00.net/cqtv.php?id=cqxnc
重庆社会与法,https://phdown.serv00.net/cqtv.php?id=cqshyf
重庆移动,https://phdown.serv00.net/cqtv.php?id=cqyd
港澳频道,#genre#
翡翠台,https://phdown.serv00.net/ublive.php?id=390
翡翠台,https://phdown.serv00.net/ublive.php?id=30
明珠台,https://phdown.serv00.net/ublive.php?id=2437
明珠台,https://phdown.serv00.net/ublive.php?id=391
无线新闻台,https://phdown.serv00.net/ublive.php?id=45
无线新闻台,https://phdown.serv00.net/ublive.php?id=394
HOY资讯台,https://phdown.serv00.net/ublive.php?id=395
Viu TV,https://phdown.serv00.net/ublive.php?id=2334
Viutv,https://phdown.serv00.net/ublive.php?id=72
TVB_POPC,https://phdown.serv00.net/ublive.php?id=2818
TVB直播,https://phdown.serv00.net/ublive.php?id=2743
TVB J2,https://phdown.serv00.net/ublive.php?id=392
TVB J2,https://phdown.serv00.net/ublive.php?id=2834
NOWTV,https://phdown.serv00.net/ublive.php?id=1246
HKIBC,https://phdown.serv00.net/ublive.php?id=354
HOY,https://phdown.serv00.net/ublive.php?id=401
18台,https://phdown.serv00.net/ublive.php?id=2813
廣東珠江,https://phdown.serv00.net/ublive.php?id=1034
18台,https://phdown.serv00.net/ublive.php?id=44
Viutv 6,https://phdown.serv00.net/ublive.php?id=176
Euronews English,https://phdown.serv00.net/ublive.php?id=2342
TVB亞洲劇,https://phdown.serv00.net/ublive.php?id=1048
TVB粵語片,https://phdown.serv00.net/ublive.php?id=1589
TVB功夫台,https://phdown.serv00.net/ublive.php?id=168
TVB1,https://phdown.serv00.net/ublive.php?id=1242
TVB DRAMA,https://phdown.serv00.net/ublive.php?id=1243
TVBJ1,https://phdown.serv00.net/ublive.php?id=1244
TVBE,https://phdown.serv00.net/ublive.php?id=1245
新時代東部,https://phdown.serv00.net/ublive.php?id=1286
（時移）新時代東,https://phdown.serv00.net/ublive.php?id=1287
新時代2,https://phdown.serv00.net/ublive.php?id=1288
城市電視,https://phdown.serv00.net/ublive.php?id=1289
TVB星河,https://phdown.serv00.net/ublive.php?id=1079
TVB經典,https://phdown.serv00.net/ublive.php?id=1083
鳳凰香港,https://phdown.serv00.net/ublive.php?id=2810
鳳凰衛視,https://phdown.serv00.net/ublive.php?id=2291
鳳凰衛視,https://phdown.serv00.net/ublive.php?id=2812
鳳凰资讯,https://phdown.serv00.net/ublive.php?id=2811
鳳凰资讯,https://phdown.serv00.net/ublive.php?id=2292
鳳凰電影,https://phdown.serv00.net/ublive.php?id=2814
星空衛視,https://phdown.serv00.net/ublive.php?id=56
創世電視,https://phdown.serv00.net/ublive.php?id=1317
澳亞衛視,https://phdown.serv00.net/ublive.php?id=85
澳門蓮花,https://phdown.serv00.net/ublive.php?id=70

RTHK32,https://phdown.serv00.net/Smartv.php?id=rhk32_twn
RTHK31,https://phdown.serv00.net/Smartv.php?id=rhk31_twn
鳳凰香港,https://phdown.serv00.net/Smartv.php?id=hkphoenix_twn
鳳凰資訊,https://phdown.serv00.net/Smartv.php?id=phoenixinfo_hd
凤凰卫视,https://phdown.serv00.net/Smartv.php?id=phoenixtv_hd
J2,https://phdown.serv00.net/Smartv.php?id=j2_twn
无线财经资讯,https://phdown.serv00.net/Smartv.php?id=tvbcaijing_twn
翡翠,https://phdown.serv00.net/Smartv.php?id=jade_twn
无线财经资讯,https://phdown.serv00.net/Smartv.php?id=tvbcaijing_twn
VIUTV1,https://phdown.serv00.net/Smartv.php?id=viu1_twn
无线新闻,https://phdown.serv00.net/Smartv.php?id=inews_twn
TVB 星河,https://phdown.serv00.net/Smartv.php?id=tvbxinhe_twn
珍珠台,https://phdown.serv00.net/Smartv.php?id=pearl_twn
VIUTV6https://phdown.serv00.net/Smartv.php?id=viusix_twn
珍珠台(備用),https://phdown.serv00.net/Smartv.php?id=pearl_hkdavid
馬來西亞频道,#genre#
TV1,https://phdown.serv00.net/Smartv.php?id=TV1
TV1 backup,https://phdown.serv00.net/Smartv.php?id=TV1_backup
TV2,https://phdown.serv00.net/Smartv.php?id=TV2
TV3,https://phdown.serv00.net/Smartv.php?id=TV3
TV3 backup,https://phdown.serv00.net/Smartv.php?id=tv3_twn
NTV7,https://phdown.serv00.net/Smartv.php?id=NTV7
TV8,https://phdown.serv00.net/Smartv.php?id=TV8
TV9,https://phdown.serv00.net/Smartv.php?id=TV9
Warna,https://phdown.serv00.net/Smartv.php?id=Warna-O
Warna backup,https://phdown.serv00.net/Smartv.php?id=Warna
Ria,https://phdown.serv00.net/Smartv.php?id=Ria-0
Ria backup,https://phdown.serv00.net/Smartv.php?id=Ri
Al-Hijrah,https://phdown.serv00.net/Smartv.php?id=Alhijrah
Al-Hijrah backup,https://phdown.serv00.net/Smartv.php?id=Alhijrah_backup
Awani,https://phdown.serv00.net/Smartv.php?id=Awani
Bernama,https://phdown.serv00.net/Smartv.php?id=Bernama
Prima,https://phdown.serv00.net/Smartv.php?id=Prima-0 Prima
backup,https://phdown.serv00.net/Smartv.php?id=Prima_xue
Ceria,https://phdown.serv00.net/Smartv.php?id=Ceria
Mecca Live HD,https://phdown.serv00.net/Smartv.php?id=quran_mido
Madinah HD,https://phdown.serv00.net/Smartv.php?id=sunnah_mido
Oasis,https://phdown.serv00.net/Smartv.php?id=Oasis HBO
Hits HD,https://phdown.serv00.net/Smartv.php?id=Hbohits
HBO HD,https://phdown.serv00.net/Smartv.php?id=Hbo
HBO Signature,https://phdown.serv00.net/Smartv.php?id=Hbosignature
NatGeo Wild HD,https://phdown.serv00.net/Smartv.php?id=Natgeowild
Cartoon Network,https://phdown.serv00.net/Smartv.php?id=Cn
Nickelodeon,https://phdown.serv00.net/Smartv.php?id=Nickelodeon
Nick Jr,107.http://172.63.16:9630/Smartv.php?id=Nickjr
Dreamworks,https://phdown.serv00.net/Smartv.php?id=Dreamworks
Citra,https://phdown.serv00.net/Smartv.php?id=Citra_xue
Sensasi,https://phdown.serv00.net/Smartv.php?id=Sensasi
Aura,https://phdown.serv00.net/Smartv.php?id=Aura
Rania,https://phdown.serv00.net/Smartv.php?id=Rani
Boo,https://phdown.serv00.net/Smartv.php?id=Boo
Awesome TV,https://phdown.serv00.net/Smartv.php?id=Dsangat
Sony HD,https://phdown.serv00.net/Smartv.php?id=SetOne
KBS World,https://phdown.serv00.net/Smartv.php?id=KBS
TvN,https://phdown.serv00.net/Smartv.php?id=TVN
Astro Premier,https://phdown.serv00.net/Smartv.php?id=Astropremier
AEC,https://phdown.serv00.net/Smartv.php?id=AEC
华丽台 HD,https://phdown.serv00.net/Smartv.php?id=Wlt
欢喜台 HD,https://phdown.serv00.net/Smartv.php?id=Huahee
欢喜台 backup,https://phdown.serv00.net/Smartv.php?id=Huahee_backup
Astro QJ,https://phdown.serv00.net/Smartv.php?id=Quanjia
AOD,https://phdown.serv00.net/Smartv.php?id=AodHD
One,https://phdown.serv00.net/Smartv.php?id=One_mega
爱奇艺 iQiyi,https://phdown.serv00.net/Smartv.php?id=Qiyi







新闻频道,#genre#
TVBS,http://debian.52sw.top:678/play/tz/litv2.php?id=4gtv-4gtv073
TVBS HD,https://phdown.serv00.net/litv.php?id=4gtv-4gtv073
TVBS新闻台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv072
中天新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv009
中天亚洲台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv109
台视新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv051
华视新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv052
台视财经,https://phdown.serv00.net/litv.php?id=4gtv-4gtv056
中视新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv074
非凡新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv010
镜新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv075
东森新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv152
东森财经新闻,https://phdown.serv00.net/litv.php?id=4gtv-4gtv153
半岛新闻,https://phdown.serv00.net/litv.php?id=litv-ftv10
民视新闻台,https://phdown.serv00.net/litv.php?id=litv-ftv13
民视台湾台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv001
寰宇新闻台,https://phdown.serv00.net/litv.php?id=litv-longturn14
寰宇新闻台湾台,https://phdown.serv00.net/litv.php?id=litv-longturn15
台视,https://phdown.serv00.net/litv.php?id=4gtv-4gtv066
民视,https://phdown.serv00.net/litv.php?id=4gtv-4gtv002
民视,https://phdown.serv00.net/litv.php?id=4gtv-4gtv155
中视,https://phdown.serv00.net/litv.php?id=4gtv-4gtv040
华视,https://phdown.serv00.net/litv.php?id=4gtv-4gtv041
民视台湾台,https://phdown.serv00.net/litv.php?id=4gtv-4gtv156

